Complaint_Type,Event_Year,Complaint_Year,Review_Year,Event_Date,Complaint_Date,Review_Completion_Date,Beat,Individual_Number,Action_Number,Action_Seq,Allegation_Number,Allegation_Type,Allegation_Seq,Incident_Number,Incident_Seq,CRB_Finding,CRB_Individual_Sustained,CRB_Split,RPD_Finding,RPD_Individual_Sustained,CRB_RPD,Concurrence,RPD_Action_Sustained,RPD_Allegation_Sustained,RPD_Incident_Sustained,CRB_Action_Sustained,CRB_Allegation_Sustained,CRB_Incident_Sustained,FID
Internal,2016,2016,2017,2016/02/03 00:00:00+00,2016/05/04 00:00:00+00,2017/05/02 00:00:00+00,221,16-0327.01.D.01,16-0327.01.D,1,16-0327.01,Force,5,16-0327,5,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,1,0,1,1,584
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.04.A.02,14-0787.04.A,2,14-0787.04,Procedure,2,14-0787,41,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,585
Citizen,2014,2014,2014,2014/03/01 00:00:00+00,2014/03/06 00:00:00+00,2014/08/05 00:00:00+00,219,14-0202.02.A.02,14-0202.02.A,2,14-0202.02,Force,2,14-0202,3,Unfounded,0,0,Unprovable,0,Unfounded-Unprovable,0,0,0,0,0,0,0,586
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.02.A.03,14-0787.02.A,3,14-0787.02,Procedure,3,14-0787,14,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,1,1,1,587
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.02.B.01,14-0787.02.B,1,14-0787.02,Procedure,4,14-0787,15,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,1,1,588
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.02.B.02,14-0787.02.B,2,14-0787.02,Procedure,5,14-0787,16,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,1,1,589
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.02.B.03,14-0787.02.B,3,14-0787.02,Procedure,6,14-0787,17,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,1,1,590
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.01,14-0787.03.A,1,14-0787.03,Courtesy,1,14-0787,18,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,591
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.02,14-0787.03.A,2,14-0787.03,Courtesy,2,14-0787,19,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,592
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.03,14-0787.03.A,3,14-0787.03,Courtesy,3,14-0787,20,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,593
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.04,14-0787.03.A,4,14-0787.03,Courtesy,4,14-0787,21,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,594
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.05,14-0787.03.A,5,14-0787.03,Courtesy,5,14-0787,22,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,595
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.06,14-0787.03.A,6,14-0787.03,Courtesy,6,14-0787,23,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,596
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.07,14-0787.03.A,7,14-0787.03,Courtesy,7,14-0787,24,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,597
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.08,14-0787.03.A,8,14-0787.03,Courtesy,8,14-0787,25,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,598
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.09,14-0787.03.A,9,14-0787.03,Courtesy,9,14-0787,26,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,599
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.10,14-0787.03.A,10,14-0787.03,Courtesy,10,14-0787,27,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,600
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.A.11,14-0787.03.A,11,14-0787.03,Courtesy,11,14-0787,28,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,601
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.B.01,14-0787.03.B,1,14-0787.03,Courtesy,12,14-0787,29,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,602
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.B.02,14-0787.03.B,2,14-0787.03,Courtesy,13,14-0787,30,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,603
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.B.03,14-0787.03.B,3,14-0787.03,Courtesy,14,14-0787,31,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,604
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.B.04,14-0787.03.B,4,14-0787.03,Courtesy,15,14-0787,32,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,605
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.B.05,14-0787.03.B,5,14-0787.03,Courtesy,16,14-0787,33,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,606
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.B.06,14-0787.03.B,6,14-0787.03,Courtesy,17,14-0787,34,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,607
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.B.07,14-0787.03.B,7,14-0787.03,Courtesy,18,14-0787,35,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,608
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.B.08,14-0787.03.B,8,14-0787.03,Courtesy,19,14-0787,36,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,609
Internal,2014,2014,2016,2014/09/26 00:00:00+00,2014/09/26 00:00:00+00,2016/03/21 00:00:00+00,253,14-0787.03.B.09,14-0787.03.B,9,14-0787.03,Courtesy,20,14-0787,37,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,610
Citizen,2015,2015,2016,2015/09/05 00:00:00+00,2015/10/14 00:00:00+00,2016/02/28 00:00:00+00,241,15-0877.05.A.01,15-0877.05.A,1,15-0877.05,Procedure,1,15-0877,21,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,611
Citizen,2015,2015,2016,2015/09/05 00:00:00+00,2015/10/14 00:00:00+00,2016/02/28 00:00:00+00,241,15-0877.05.A.02,15-0877.05.A,2,15-0877.05,Procedure,2,15-0877,22,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,612
Citizen,2015,2015,2016,2015/09/05 00:00:00+00,2015/10/14 00:00:00+00,2016/02/28 00:00:00+00,241,15-0877.06.A.01,15-0877.06.A,1,15-0877.06,Force,1,15-0877,23,Exonerated,0,0,Unfounded,0,Exonerated-Unfounded,0,0,0,0,0,0,1,613
Citizen,2015,2015,2016,2015/09/05 00:00:00+00,2015/10/14 00:00:00+00,2016/02/28 00:00:00+00,241,15-0877.06.A.02,15-0877.06.A,2,15-0877.06,Force,2,15-0877,24,Exonerated,0,0,Unfounded,0,Exonerated-Unfounded,0,0,0,0,0,0,1,614
Citizen,2015,2015,2016,2015/09/05 00:00:00+00,2015/10/14 00:00:00+00,2016/02/28 00:00:00+00,241,15-0877.07.A.01,15-0877.07.A,1,15-0877.07,Courtesy,1,15-0877,25,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,615
Citizen,2015,2015,2016,2015/09/05 00:00:00+00,2015/10/14 00:00:00+00,2016/02/28 00:00:00+00,241,15-0877.07.A.02,15-0877.07.A,2,15-0877.07,Courtesy,2,15-0877,26,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,1,616
Citizen,2015,2015,2016,2015/09/05 00:00:00+00,2015/10/14 00:00:00+00,2016/02/28 00:00:00+00,241,15-0877.08.A.01,15-0877.08.A,1,15-0877.08,Satellite,1,15-0877,27,Sustained,1,0,Unfounded,0,Sustained-Unfounded,0,0,0,0,1,1,1,617
Citizen,2015,2015,2016,2015/09/05 00:00:00+00,2015/10/14 00:00:00+00,2016/02/28 00:00:00+00,241,15-0877.08.A.02,15-0877.08.A,2,15-0877.08,Satellite,2,15-0877,28,Sustained,1,0,Unfounded,0,Sustained-Unfounded,0,0,0,0,1,1,1,618
Citizen,2015,2017,2017,2015/09/10 00:00:00+00,2017/01/09 00:00:00+00,2017/03/06 00:00:00+00,245,17-0027.01.A.01,17-0027.01.A,1,17-0027.01,Courtesy,1,17-0027,1,Sustained,1,0,Sustained,1,Sustained-Sustained,1,1,1,1,1,1,1,619
Citizen,2015,2017,2017,2015/09/10 00:00:00+00,2017/01/09 00:00:00+00,2017/03/06 00:00:00+00,245,17-0027.02.A.01,17-0027.02.A,1,17-0027.02,Force,1,17-0027,2,Sustained,1,0,Unprovable,0,Sustained-Unprovable,0,0,0,1,1,1,1,620
Internal,2015,2015,2015,2015/10/03 00:00:00+00,2015/10/06 00:00:00+00,2015/12/30 00:00:00+00,209,15-0865.01.A.01,15-0865.01.A,1,15-0865.01,Conduct,1,15-0865,1,Unprovable,0,1,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,621
Internal,2015,2015,2015,2015/10/03 00:00:00+00,2015/10/06 00:00:00+00,2015/12/30 00:00:00+00,209,15-0865.01.B.01,15-0865.01.B,1,15-0865.01,Conduct,2,15-0865,2,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,622
Citizen,2015,2015,2016,2015/10/06 00:00:00+00,2015/11/04 00:00:00+00,2016/02/24 00:00:00+00,241,15-0917.01.A.01,15-0917.01.A,1,15-0917.01,Force,1,15-0917,1,Unprovable,0,1,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,623
Citizen,2015,2015,2016,2015/10/06 00:00:00+00,2015/11/04 00:00:00+00,2016/02/24 00:00:00+00,241,15-0917.01.A.02,15-0917.01.A,2,15-0917.01,Force,2,15-0917,2,Unprovable,0,1,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,624
Citizen,2015,2015,2016,2015/10/06 00:00:00+00,2015/11/04 00:00:00+00,2016/02/24 00:00:00+00,241,15-0917.01.A.03,15-0917.01.A,3,15-0917.01,Force,3,15-0917,3,Unprovable,0,1,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,625
Citizen,2015,2015,2016,2015/10/06 00:00:00+00,2015/11/04 00:00:00+00,2016/02/24 00:00:00+00,241,15-0917.01.B.01,15-0917.01.B,1,15-0917.01,Force,4,15-0917,4,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,626
Citizen,2015,2015,2016,2015/10/06 00:00:00+00,2015/11/04 00:00:00+00,2016/02/24 00:00:00+00,241,15-0917.01.B.02,15-0917.01.B,2,15-0917.01,Force,5,15-0917,5,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,627
Citizen,2015,2015,2016,2015/10/06 00:00:00+00,2015/11/04 00:00:00+00,2016/02/24 00:00:00+00,241,15-0917.01.B.03,15-0917.01.B,3,15-0917.01,Force,6,15-0917,6,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,628
Citizen,2015,2015,2016,2015/10/06 00:00:00+00,2015/11/04 00:00:00+00,2016/02/24 00:00:00+00,241,15-0917.01.C.01,15-0917.01.C,1,15-0917.01,Force,7,15-0917,7,Unprovable,0,1,Exonerated,0,Unprovable-Exonerated,0,0,0,0,0,0,0,629
Citizen,2015,2015,2016,2015/10/06 00:00:00+00,2015/11/04 00:00:00+00,2016/02/24 00:00:00+00,241,15-0917.01.C.02,15-0917.01.C,2,15-0917.01,Force,8,15-0917,8,Unprovable,0,1,Exonerated,0,Unprovable-Exonerated,0,0,0,0,0,0,0,630
Citizen,2015,2015,2016,2015/10/06 00:00:00+00,2015/11/04 00:00:00+00,2016/02/24 00:00:00+00,241,15-0917.01.C.03,15-0917.01.C,3,15-0917.01,Force,9,15-0917,9,Unprovable,0,1,Exonerated,0,Unprovable-Exonerated,0,0,0,0,0,0,0,631
Citizen,2015,2015,2016,2015/10/06 00:00:00+00,2015/11/04 00:00:00+00,2016/02/24 00:00:00+00,241,15-0917.01.D.01,15-0917.01.D,1,15-0917.01,Force,10,15-0917,10,Unprovable,0,1,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,632
