OBJECTID,LABEL,CATEGORY,ZONE_LABEL,DESCRIPTION,BLURB1,LINKTEXT1,HREF1,BLURB2,LINKTEXT2,HREF2,Shape__Area,Shape__Length
219,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,183567.151153365,2773.58192351029
220,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,306831.257455745,3866.27328692255
221,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,630814.857798075,5464.77977010845
222,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,442438.47129532,4018.03086726232
223,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,195130.546629125,1883.53375026972
224,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,279316.868941495,2387.34516207361
225,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,120986.390869735,1585.56396346384
226,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,108905.36735516,2485.62401043366
227,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,18532.22972763,601.937760582237
228,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,280292.87550383,3922.62642622798
229,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,457088.233832625,7259.04333774977
230,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,23104.66391619,627.312058024414
231,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,52066.32556523,1512.59423231639
232,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,51038.146987965,1611.29217140941
233,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,20319.055511265,563.445209380807
234,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,9824285.1998349,39331.7317828036
235,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,8624.48002989,388.616287893561
236,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,320060.532560375,2704.57145367915
237,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,115227.263975575,1686.81943488821
238,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,185682.78793563,2317.38270317998
239,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,57765.505916205,1066.52164556319
240,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,9655.12945382,401.363876157517
241,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,43308.189770485,1467.0258651643
242,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,9479.341790275,495.45225532158
243,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,5947.777108015,319.437589702024
244,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,51511.26844491,1618.05634314549
245,Cascade URD/CCD-C,URD Urban Renewal District,Cascade URD/CCD-C,Cascade Area Urban Renewal District/CCD-C Center City Cascade-Canal,Cascade URD Zoning Code is,available online,http://ecode360.com/8681722,CCD-C Zoning Code is,available online,http://ecode360.com/8681089,109770.47904064,1421.08972562583
246,CCD-B,CCD Center City District,CCD-B,CCD-B Center City Base District,CCD-B Zoning Code is,available online,http://ecode360.com/8680106, , , ,262542.662121935,2397.99940690246
247,CCD-M,CCD Center City District,CCD-M,CCD-M Center City Main Street District,CCD-M Zoning Code is,available online,http://ecode360.com/8680426, , , ,413122.243497025,4870.5998651453
248,C-3,C-3 Regional Destination Center,C-3,C-3 Regional Destination Center,C-3 Zoning Code is,available online,http://ecode360.com/8679969, , , ,61927.06769072,1075.67142499615
249,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,18013.57308615,562.574208124188
250,IPD #4,Planned Development District,IPD #4,Institutional Planned Development #4 Valley Manor,IPD Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,45675.35365393,851.182938031422
251,PD #10,Planned Development District,PD #10,PD Planned Development District #10 University of Rochester,PD #10 Zoning Code is,available online,https://ecode360.com/33553771, , , ,2214128.66275551,11950.8715280646
252,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,140416.77158335,3756.77024793929
253,C-3 Conditional,C-3 Regional Destination Center,C-3 Conditional,C-3 Conditional,C-3 Conditional Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,11315.00174214,477.760558320525
254,CCD-T,CCD Center City District,CCD-T,CCD-T Center City Tower District,CCD-T Zoning Code is,available online,http://ecode360.com/8680942, , , ,12736.415181555,470.32039408081
255,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,166505.51202173,1829.93098936109
256,Erie Canal URD,URD Urban Renewal District,Erie Canal URD,Erie Canal Urban Renewal District,Erie Canal URD Zoning Code is,available online,http://ecode360.com/8681722, , , ,149710.664287065,1962.88294953307
257,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,103533.143447955,1820.58314525026
258,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,61464.43750009,1287.98933739162
259,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,3483.5659676,278.689030565146
260,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,2238.3684331,199.103650101895
261,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,11930.625770885,478.4554966285
262,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,27226.890306615,710.433243765388
263,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,52447.099862635,1094.52123481091
264,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,6072.324907715,358.077044060949
265,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,9645.882561185,394.354224143409
266,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,9339.176726815,444.415291308894
267,CCD-R,CCD Center City District,CCD-R,CCD-R Center City Riverfront,CCD-R Zoning Code is,available online,http://ecode360.com/8680229, , , ,2803246.68297993,14411.7131311514
268,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,98413.38438351,1798.62419536237
269,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,4249.672002325,267.887586735093
270,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,4358.48408537,290.670701484848
271,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,3740.847797185,250.857616629646
272,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,2102.06639376,193.271226240295
273,PD #3,Planned Development District,PD #3,PD Planned Development District #3 Buena Vista,PD #3 Zoning Code is,available online,https://ecode360.com/33553295, , , ,42196.29521824,1363.53046602594
274,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,9371.21138832,432.930243551728
275,T-P,Parking,T-P,T-P Transitional Parking District,T-P Zoning Code is,available online,http://ecode360.com/documents/RO0104/RO0104-120a%20Appendix%201.pdf, , , ,7597.577046565,374.690643769682
276,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,127935.008178045,1775.99319298247
277,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,31290.29447671,880.66424237246
278,M-D,Village Center,M-D,M-D Marina,M-D Zoning Code is,available online,http://ecode360.com/16129485, , , ,170332.608502695,1996.06690582141
279,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,40766.87080129,1372.88006776996
280,PD #9,Planned Development District,PD #9,PD Planned Development District #9 Canalside Business Park,PD #9 Zoning Code is,available online,https://ecode360.com/33553660, , , ,956204.758409665,4378.11788189652
281,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,23607.232302245,826.180635250497
282,C-3,C-3 Regional Destination Center,C-3,C-3 Regional Destination Center,C-3 Zoning Code is,available online,http://ecode360.com/8679969, , , ,95848.13924581,1230.49696478886
283,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,36470.417857295,1014.77923216468
284,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,32745.927472695,1003.49337781614
285,CCD-G,CCD Center City District,CCD-G,CCD-G Center City Grove Place District,CCD-G Zoning Code is,available online,http://ecode360.com/8680618, , , ,98867.38060534,2035.11360783777
286,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,131395.79776011,2994.2926397151
287,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,6419648.74532016,15023.6683424252
288,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,26985262.9412954,112568.533042519
289,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,141425.12246759,2096.40615174399
290,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,6213255.68576788,11276.9569369225
291,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,909562.237377095,6098.24625310822
292,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,85252.81839643,2092.07243328496
293,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,120720.194405585,1972.15572577161
294,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,1390444.20795712,8446.40450822594
295,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,2740231.21289627,14158.0595809871
296,IPD #10,Planned Development District,IPD #10,Institutional Planned Development #10 St. Mary's Hospital,IPD Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,99690.410375385,1447.8619697635
297,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,430470.460479035,4188.10263570654
298,Marketview Heights URD/R-2,URD Urban Renewal District,Marketview Heights URD/R-2,Marketview Heights Urban Renewal District / R-2 Medium Density Residential,Marketview Heights URD Zoning Code is,available online,http://ecode360.com/8681722,R-2 Zoning Code is,available online,http://ecode360.com/8679602,349581.937114535,3671.47474019779
299,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,374282.13514955,3208.43851857815
300,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,4768846.15521337,21699.3914443845
301,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,1245588.41550359,6410.6096521276
302,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,1221935.10807513,6795.77624017476
303,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,3666954.15127421,18670.2888633263
304,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,1875432.65734415,9963.52862455446
305,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,584351.16173608,5324.46528831235
306,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,1119862.16610612,9681.45356239783
307,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,1181819.73643872,6877.9448032125
308,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,12096406.2594608,42284.4280439836
309,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,65729.16034658,1769.88824686931
310,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,5808.537425115,337.493907386043
311,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,17511.29395926,636.564521418472
312,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,95922.30891179,1530.74607682388
313,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,150751.714638825,1806.39862876436
314,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,22639.788578935,659.471918345062
315,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,87665.012490245,2446.12095379959
316,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,91344.91410106,1613.45851707344
317,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,97770.30684886,1760.23419075375
318,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,33575.35636304,1013.02065349793
319,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,4572.071110145,271.639301897388
320,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,136989.561372285,2330.95979140836
321,Ridgeway URD,URD Urban Renewal District,Ridgeway URD,Ridgeway Urban Renewal District,Ridgeway URD Zoning Code is,available online,http://ecode360.com/8681722, , , ,368258.05169835,2809.71839754245
322,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,67389.627301985,1039.21005138152
323,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,14045.03123991,476.058431744397
324,Dewey Driving Park URD-N,URD Urban Renewal District,Dewey Driving Park URD-N,Dewey-Driving Park Urban Renewal District North,Dewey Driving Park URD-N Zoning Code is,available online,http://ecode360.com/8681722, , , ,20661.371728795,609.571922727116
325,Dewey Driving Park URD-S,URD Urban Renewal District,Dewey Driving Park URD-S,Dewey-Driving Park Urban Renewal District South,Dewey Driving Park URD-S Zoning Code is,available online,http://ecode360.com/8681722, , , ,92100.771992415,1954.49317983439
326,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,26084.155497725,861.643350339711
327,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,259209.46064596,2690.7294977881
328,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,26732.039009685,927.033971034712
329,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,164668.639049175,3261.05937455385
330,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,108969.952588365,3061.03245399277
331,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,63016.269925755,1018.64586726916
332,PD #2,Planned Development District,PD #2,PD Planned Development District #2 Upstate Farms Cooperative,PD #2 Zoning Code is,available online,https://ecode360.com/33553192, , , ,38716.690578795,848.618375802469
333,C-3,C-3 Regional Destination Center,C-3,C-3 Regional Destination Center,C-3 Zoning Code is,available online,http://ecode360.com/8679969, , , ,13952.87156446,638.513286449714
334,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,391033.01833358,5582.69656008209
335,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,6565787.87441244,40151.4358773003
336,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,121412.973338565,2793.26975247872
337,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,307046.91628779,3338.3454884956
338,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,299531.830833095,4984.20543472523
339,PD #12,Planned Development District,PD #12,PD Planned Development District #12 Eastman Business Park,PD #12 Zoning Code is,available online,https://ecode360.com/33554132, , , ,1433837.26824973,6885.03479320773
340,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,509250.470471485,5980.63364589885
341,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,27847.57915288,892.289853732283
342,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,209315.91658039,4792.02425891925
343,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,80375.59539609,2061.24787224098
344,La Marketa URD,URD Urban Renewal District,La Marketa URD,La Marketa North Clinton Avenue Urban Renewal District,La Marketa URD Zoning Code is,available online,http://ecode360.com/8681722, , , ,16559.185994985,519.090002124013
345,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,8564.06065689,412.949577225992
346,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,334711.88081552,3010.38540411276
347,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,129819.69084866,1948.84192629314
348,T-P,Parking,T-P,T-P Transitional Parking District,T-P Zoning Code is,available online,http://ecode360.com/documents/RO0104/RO0104-120a%20Appendix%201.pdf, , , ,49263.158343255,917.764496210949
349,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,7017.030546235,366.632949695705
350,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,12358.56796267,606.395578103209
351,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,8611.410049165,408.642445855354
352,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,85887.509715645,1834.62485718828
353,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,16733.14428376,623.793388854445
354,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,23452.357146495,879.292381689281
355,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,905383.17257122,6701.0869906117
356,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,33020.10608634,1088.97962301518
357,IPD School for the Deaf,Planned Development District,IPD School for the Deaf,Institutional Planned Development - Rochester School for the Deaf,IPD Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,74072.551136155,1708.3539541757
358,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,22809.292451365,865.600589092667
359,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,68535.022334805,1589.72894116896
360,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,9828678.66403958,38409.668699293
361,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,11073801.0593224,47174.9691705421
362,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,2001.35387555,179.584358114071
363,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,787247.588470155,5341.0401446074
364,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,21222.0239239,588.647008551877
365,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,11482.31133729,495.35009083105
366,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,20466.500147415,751.964266998511
367,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,37242.133484675,917.586071186643
368,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,4593.8527398,309.694706731028
369,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,4679.483930605,282.877863551466
370,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,0.23987556,46.8915414291357
371,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,0.061196285,6.98518621312198
372,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,65090.768322535,1702.15986838651
373,PD #15,Planned Development District,PD #15,PD Planned Development District #15 Culver Road Armory,PD #15 Zoning Code is,available online,https://ecode360.com/33554304, , , ,90612.220805795,1520.13869116026
374,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,16310.83099451,750.4433744651
375,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,4394.24173812,295.129987033801
376,CCD-G,CCD Center City District,CCD-G,CCD-G Center City Grove Place District,CCD-G Zoning Code is,available online,http://ecode360.com/8680618, , , ,20690.01047568,851.660665140516
377,CCD-GR,CCD Center City District,CCD-GR,CCD-GR Grove Place R-Residential,CCD-GR Zoning Code is,available online,http://ecode360.com/8680618, , , ,63546.06646275,1313.8169488464
378,Midtown URD/CCD-M,URD Urban Renewal District,Midtown URD/CCD-M,Midtown Urban Renewal District/CCD-M Center City Main Street District,Midtown URD Zoning Code is,available online,http://ecode360.com/8681722,CCD-M Zoning Code is,available online,http://ecode360.com/8680426,23988.13962327,776.859301071676
379,Brooks Landing URD/C-1,URD Urban Renewal District,Brooks Landing URD/C-1,Brooks Landing Urban Renewal District/C-1 Neighborhood Center,Brooks Landing URD Zoning Code is,available online,http://ecode360.com/8681722,C-1 Zoning Code is,available online,http://ecode360.com/8679793,32285.408113465,836.757244336226
380,Brooks Landing URD/O-S,URD Urban Renewal District,Brooks Landing URD/O-S,Brooks Landing Urban Renewal District/O-S Open Space,Brooks Landing URD Zoning Code is,available online,http://ecode360.com/8681722,O-S Zoning Code is,available online,http://ecode360.com/8681579,7269.040251315,837.602376723329
381,Cascade URD/CCD-M,URD Urban Renewal District,Cascade URD/CCD-M,Cascade Area Urban Renewal District/CCD-M Center City Main Street District,Cascade URD Zoning Code is,available online,http://ecode360.com/8681722,CCD-M Zoning Code is,available online,http://ecode360.com/8680426,38013.495384135,1232.54019587999
382,Washington Square URD/CCD-R,URD Urban Renewal District,Washington Square URD/CCD-R,Washington Square Urban Renewal District/CCD-R Center City Riverfront,Washington Square URD Zoning Code is,available online,http://ecode360.com/8681722,CCD-R Zoning Code is,available online,http://ecode360.com/8680229,26685.57396971,763.455443041397
383,Genesee Crossroads S URD/CCD-R,URD Urban Renewal District,Genesee Crossroads S URD/CCD-R,Genesee Crossroads South Urban Renewal District/CCD-R Center City Riverfront,Genesee Crossroads S URD Zoning Code is,available online,http://ecode360.com/8681722,CCD-R Zoning Code is,available online,http://ecode360.com/8680229,43504.434230505,874.308982366768
384,Genesee Crossroads S URD/CCD-M,URD Urban Renewal District,Genesee Crossroads S URD/CCD-M,Genesee Crossroads South Urban Renewal District/CCD-M Center City Main Street District,Genesee Crossroads S URD Zoning Code is,available online,http://ecode360.com/8681722,CCD-M Zoning Code is,available online,http://ecode360.com/8680426,14105.158366375,517.795286883659
