OBJECTID,LABEL,CATEGORY,ZONE_LABEL,DESCRIPTION,BLURB1,LINKTEXT1,HREF1,BLURB2,LINKTEXT2,HREF2,Shape__Area,Shape__Length
94,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,18696.309571735,557.113166014517
95,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,8537.15950301,389.972802048326
96,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,16238.874244535,536.904111445949
97,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,18778.59905332,816.715129883024
98,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,17902.07020162,716.406681372664
99,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,8442.60983919,426.389611854648
100,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,13697.845901555,610.729826557171
101,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,71709.02659831,1755.91629334034
102,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,16227.972541595,617.528715693831
103,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,80903.83059545,1716.09136508258
104,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,33761.13303468,1270.75301928723
105,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,8887.64579374,425.789903026242
106,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,14606.368820795,538.287993708282
107,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,27226.073242265,743.686018486907
108,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,13629.48412408,576.984193358653
109,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,22125.0396084,772.038257763788
110,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,22775.767015935,654.693903584833
111,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,11097.56087797,572.740932320795
112,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,33940.536019085,1282.1133448592
113,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,20887.793393985,889.797902047659
114,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,12207.960212545,696.668296012148
115,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,22927.52473438,762.529107582882
116,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,19216.797775585,791.713618621177
117,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,21972.605295655,830.849887505618
118,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,27606.98809165,991.338047835767
